producto,marca,formato,cantidad,precio,supermercado,categoria
Vino tinto joven D.O. Rioja  Rivero,Faustino,Botella,75 cl,3.99,Dia,Bebidas con alcohol
Vino tinto reserva  Rivero,Faustino,Botella,75 cl,2.09,Dia,Bebidas con alcohol
Vino tinto D.O. Rioja,Señorío de Ondas,Botella,75 cl,2.45,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Castillo de Haro,Botella,75 cl,4.19,Dia,Bebidas con alcohol
Vino tinto roble D.O. Ribera del Duero,Heredad baran,Botella,75 cl,4.95,Dia,Bebidas con alcohol
Vino tinto sirah,Señorío de Ayerbe,Botella,75 cl,2.85,Dia,Bebidas con alcohol
Vino tinto,Habla de la tierra,Botella,75 cl,8.25,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Madrid,Puerta de Alcalá,Botella,75 cl,4.45,Dia,Bebidas con alcohol
Vino tinto gran reserva D.O. Valdepeñas,Viña Albalí,Botella,75 cl,4.49,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Ribera del Duero,Altos del Tamarón,Botella,75 cl,7.45,Dia,Bebidas con alcohol
Vino tinto D.O.  Viña Mayor,Ribera del Duero,Botella,75 cl,7.75,Dia,Bebidas con alcohol
Vino tinto,Cumbre de Gredos,Brik,1 l,1.69,Dia,Bebidas con alcohol
Vino tinto D.O. Valdepeñas,Molinos,Botella,75 cl,2.35,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Lagunilla,Botella,75 cl,7.49,Dia,Bebidas con alcohol
Vino tinto D.O. Tempranillo Altos de Tamarón,Marca no encontrada,Botella,75 cl,2.99,Dia,Bebidas con alcohol
Vino tinto D.O. Madrid,Puerta de Alcalá,Botella,75 cl,5.75,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Campo viejo,Botella,75 cl,5.77,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Rioja,Señorío de Ondas,Botella,75 cl,4.1,Dia,Bebidas con alcohol
Vino tinto CVC D.O. Rioja  VII,Faustino,Botella,75 cl,3.99,Dia,Bebidas con alcohol
Vino tinto de la tierra de Extremadura   baginbox,Viña Tabora,Frasco,3 l,4.99,Dia,Bebidas con alcohol
Vino tinto D.O. Madrid,Puerta de Alcalá,Botella,75 cl,3.09,Dia,Bebidas con alcohol
Vino tinto D.O. Somontano,Viñas del Vero,Botella,75 cl,6.1,Dia,Bebidas con alcohol
Vino tinto crianza D.O Rioja,Señorío de Ondas,Botella,75 cl,3.25,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Beronia,Botella,75 cl,8.99,Dia,Bebidas con alcohol
Vino tinto,Don Simón,Brik,1 l,1.6,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Ederra,Botella,75 cl,6.99,Dia,Bebidas con alcohol
Vino tinto cabernet sauvignon IGP,Señorío de Ayerbe,Botella,75 cl,2.9,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Navarra,Viña Ardanche,Botella,75 cl,2.49,Dia,Bebidas con alcohol
Vino tinto joven D.O. Rioja,Castillo de Haro,Botella,75 cl,3.29,Dia,Bebidas con alcohol
Vino tinto,Mucho mas,Botella,75 cl,6.49,Dia,Bebidas con alcohol
Vino tinto reserva D.O. La Mancha,Estola,Botella,75 cl,3.89,Dia,Bebidas con alcohol
Vino tinto de Ribera del Queiles,Garnacha salvaje moncayo,Botella,75 cl,8.09,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,López de Haro,Botella,75 cl,7.95,Dia,Bebidas con alcohol
Vino tinto D.O. Toro,Matsu,Botella,75 cl,7.99,Dia,Bebidas con alcohol
Vino tinto roble D.O.  Valderivero,Ribera del Duero,Botella,75 cl,6.99,Dia,Bebidas con alcohol
Vino tinto joven D.O.  Valderivero,Ribera del Duero,Botella,75 cl,5.9,Dia,Bebidas con alcohol
Vino tinto mencia D.O. Monterrei,Mourama,Botella,75 cl,4.59,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Ribera del Duero,Heredad baran,Botella,75 cl,6.29,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Cariñena,Geraldino,Botella,75 cl,2.79,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Cariñena,Geraldino,Botella,75 cl,2.19,Dia,Bebidas con alcohol
Vino tinto ecológico D.O. Jumilla,Sismicus,Botella,75 cl,2.99,Dia,Bebidas con alcohol
Vino tinto joven D.O. Jumilla,Sismicus,Botella,75 cl,2.59,Dia,Bebidas con alcohol
Vino tinto reserva D.O. La Mancha,Ribera de Algodor,Botella,75 cl,2.29,Dia,Bebidas con alcohol
Vino tinto tempranillo,Abstractio,Botella,75 cl,2.85,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Utiel Requena,Mirandoli,Botella,75 cl,2.39,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Utiel Requena,Mirandoli,Botella,75 cl,2.29,Dia,Bebidas con alcohol
Vino tinto tempranillo syrah,Pinta en Copas,Botella,75 cl,1.99,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Ribera del Duero,Arco del Sol,Botella,75 cl,5.99,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Ribera del Duero,Arco del Sol,Botella,75 cl,4.49,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Valdepeñas,Viña Danza,Botella,75 cl,2.19,Dia,Bebidas con alcohol
Vino tinto joven D.O. Valdepeñas,Viña Danza,Botella,75 cl,1.79,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Rioja,Castillo de Haro,Botella,75 cl,6.99,Dia,Bebidas con alcohol
Vino tinto joven madurado D.O. Rioja,Castillo de Haro,Botella,75 cl,3.89,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Valdepeñas,Viña Danza,Botella,75 cl,2.69,Dia,Bebidas con alcohol
Vino tinto viñas viejas D.O Toro,Campo curero,Botella,75 cl,5.09,Dia,Bebidas con alcohol
Vino tinto D.O Rioja,Berberana,Botella,750 ml,7.29,Dia,Bebidas con alcohol
Vino tinto do cádiz,Finca Moncloa,Botella,75 cl,16.25,Dia,Bebidas con alcohol
Vino tinto,Mayor de Castilla,Botella,75 cl,3.3,Dia,Bebidas con alcohol
Vino tinto merlot,Señorío de Ayerbe,Botella,75 cl,2.85,Dia,Bebidas con alcohol
Vino tinto gran reserva D.O. Rioja,Señorío de Ondas,Botella,75 cl,7.99,Dia,Bebidas con alcohol
Vino tinto D.O. Rioja,Beronia,Botella,75 cl,16.25,Dia,Bebidas con alcohol
Vino tinto D.O. Ribera del Duero,Celeste,Botella,75 cl,9.35,Dia,Bebidas con alcohol
Vino tinto de la tierra de Castila,Berberana,Botella,75 cl,4.89,Dia,Bebidas con alcohol
Vino tinto D.O. Penedés,Solell de Flix,Botella,75 cl,2.79,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Rioja,Viña Pomal,Botella,75 cl,14.95,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Glorioso,Botella,75 cl,7.95,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Ribera del Duero,Matarromera,Botella,75 cl,24.59,Dia,Bebidas con alcohol
Vino tinto roble D.O.,Ribera del Duero,Botella,75 cl,9.65,Dia,Bebidas con alcohol
Vino tinto D.O. Toro,Bajoz,Botella,75 cl,5.25,Dia,Bebidas con alcohol
Vino tinto gran reserva D.O. Rioja,Faustino,Botella,75 cl,19.99,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Azpilicueta,Botella,75 cl,8.75,Dia,Bebidas con alcohol
Vino tinto roble D.O. Ribera del Duero,Legaris,Botella,75 cl,8.95,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Ribera del Duero,Protos,Botella,75 cl,19.95,Dia,Bebidas con alcohol
Vino tinto crianza D.O Rioja,Ramón Bilbao,Botella,75 cl,9.99,Dia,Bebidas con alcohol
